movie,year,rating,genre,runtime_min,imdb_rating,metascore,votes,id
Heaven in Hell,2023,No rating,"['Drama', ' Romance']",94,6.0,No score,141,08872961-a1f2-413b-b625-026583d43c02
Englemageren,2023,No rating,"['Crime', ' Thriller']",99,7.7,65,57,77951ba3-af5a-4323-ac09-f4e87cea9180
Femme,2023,No rating,['Thriller'],97,7.8,76,388,b49dd598-9247-4e13-b069-75683ea3ca00
Flora and Son,2023,R,"['Drama', ' Music']",81,7.6,79,29,5827411f-f5e7-41eb-bc19-2f088121fe19
Kuolleet lehdet,2023,No rating,"['Comedy', ' Drama']",No runtime,5.0,No score,71,64aa7789-edd9-45db-b647-4f212e2e1dc6
Rajugari Kodipulao,2023,No rating,"['Comedy', ' Drama', ' Mystery']",106,6.7,No score,50,6d37b6ec-ffce-4b1b-bee5-c90bfc73acbd
Creepypasta,2023,No rating,['Horror'],No runtime,No rating,No score,No votes,3948cfae-aa97-49c1-afb2-222d1c52ab22
Unexpected,2023,No rating,"['Comedy', ' Drama', ' Romance']",106,6.2,No score,101,84ce5a3f-b633-47f9-8bc5-379c81154380
Bunker,2023,No rating,"['Action', ' Crime', ' Thriller']",90,6.5,No score,157,fc96368e-9ff9-411a-b9ad-2c72d4ec47f9
Killing Romance,2023,No rating,"['Comedy', ' Music', ' Romance']",87,7.5,No score,1464,0f7570b2-53ee-4dc8-be8a-8db461631370
Tokyo Revengers 2,2023,No rating,"['Action', ' Crime', ' Drama']",144,7.0,No score,197,da268c61-07e2-49b0-ad47-107ba1223ee0
Real Love,2023,No rating,"['Drama', ' Romance']",80,2.6,No score,275,2a4190f1-81b1-4c9f-995b-34b3b33757a3
Darker Shades of Summer,2023,No rating,"['Romance', ' Thriller']",96,5.6,No score,40,86f000c7-c805-4aaf-97ac-3ed0c2e0052f
L'estate più calda,2023,No rating,"['Comedy', ' Drama', ' Romance']",105,7.6,No score,22,93550fbe-9af3-4996-8dc0-3af0a7014ae1
Bloody Hell,2023,No rating,"['Comedy', ' Drama']",No runtime,7.8,No score,77,c73dc0aa-39ac-4d74-8f22-ea546598f7b2
The Absence of Eden,2023,No rating,['Drama'],103,6.1,No score,45,2c3b052f-37f3-4e82-b50f-7fb9cf959f0b
Une zone à défendre,2023,No rating,"['Drama', ' Romance', ' Thriller']",99,6.7,81,66,f703e9a0-1264-4a40-a8fe-6c82237ef788
Le temps d'un été,2023,No rating,"['Comedy', ' Drama']",120,7.3,No score,44,9cd80487-ac96-411c-9d60-77371b60466b
Le règne animal,2023,No rating,"['Adventure', ' Drama', ' Sci-Fi']",130,7.4,70,15,cd8ab795-49f1-45cb-b30b-ee54ae1dfe1f
Debbie Does Demons,2023,No rating,['Horror'],74,6.1,No score,326,28dd7e10-b065-4a28-9c37-1d8a1efdfd53
LaRoy,2023,No rating,"['Comedy', ' Crime', ' Thriller']",110,8.8,No score,1494,d86f6e62-e06f-4a56-b5d3-1f70e62e4f2d
Deadly Entanglement,2023,No rating,['Thriller'],95,3.5,No score,173,9d6f31c4-2534-41d0-acbe-d083dbe52e6f
Johnny & Clyde,2023,No rating,"['Action', ' Adventure', ' Crime']",100,7.0,No score,34,5123b159-61e2-4b48-8eb6-4c9ab78388c7
Psycho-Pass: Providence,2023,R,"['Animation', ' Action', ' Crime']",120,8.8,No score,8,4d89263b-3003-4496-bedb-43d27097829f
Bucky F*cking Dent,2023,No rating,"['Comedy', ' Drama', ' Romance']",105,5.0,No score,2414,cf2a16b4-de24-4e8f-a667-76fc1b3930c4
Bholaa Shankar,2023,No rating,"['Action', ' Drama']",159,6.6,No score,73,b87ebde2-c006-4274-bfff-52350d39a3d4
Neeyat,2023,No rating,"['Crime', ' Mystery', ' Thriller']",134,5.2,No score,136,4839a525-6609-4372-9a63-2562ce6653e3
Mission Majnu,2023,No rating,"['Drama', ' Family']",115,5.6,No score,698,23847e35-f8bb-4fbe-83bb-7960bf21bb7b
Bie jiao wo 'Du Shen',2023,No rating,"['Drama', ' Thriller']",123,6.4,No score,1016,02081591-a511-4d4d-aa5e-499ca4015132
Rekha,2023,No rating,"['Comedy', ' Crime', ' Drama']",153,7.2,No score,179,71dd293c-20c7-4c4f-873f-21e21b4a7a06
Purusha Pretham,2023,No rating,['Comedy'],108,6.1,No score,382,76b0300a-645c-4ca7-9d85-a38ed5129aa5
Romantiche,2023,No rating,"['Action', ' Crime', ' Drama']",142,6.7,No score,106,e8021e96-de45-4e4f-8478-b91ca463514f
Kennedy,2023,No rating,['Drama'],110,6.5,No score,214,09f555ea-f446-4ba6-bc1e-4e86f66e764d
À la belle étoile,2023,No rating,['Drama'],84,9.2,No score,15,fb2928c8-ddc9-430e-9551-5587e25a0858
Sunflower,2023,No rating,['Comedy'],163,No rating,No score,No votes,79e97fae-fe61-47be-b7ed-73f1d27c9432
Do Not Expect Too Much from the End of the World,2023,No rating,"['Comedy', ' Drama', ' Family']",129,7.1,No score,414,f4c3d867-3127-427b-882c-4ec48eee732a
Godday Godday Chaa,2023,No rating,"['Action', ' Drama', ' Family']",119,5.2,No score,42472,e4d8ddc1-8c4c-49ce-9d7e-cfdf43626606
Paayum Oli Nee Yenakku,2023,No rating,"['Action', ' Drama', ' History']",129,7.1,No score,1415,387dc3f9-5e4f-4336-a047-06a517704479
From Black,2023,No rating,['Horror'],100,4.9,No score,1384,81616756-e889-4ff1-95d8-985c8132eacb
Left Behind: Rise of the Antichrist,2023,No rating,"['Action', ' Drama', ' Mystery']",115,3.9,No score,98,2bfaea32-7695-4648-9f5c-08071a5b7495
Night of the Assassin,2023,No rating,"['Action', ' Adventure']",101,6.0,No score,1473,0cdd5826-940d-46f8-9d8a-3037385789e7
Medellin,2023,No rating,['Comedy'],104,4.9,No score,120,a7007c75-273a-48f2-8589-a65ae565ced8
Island Escape,2023,No rating,"['Action', ' Horror']",86,5.6,No score,22,254880ef-7b10-4e48-bd2d-e99a9b4e11d0
Castaways,2023,No rating,"['Adventure', ' Drama', ' Romance']",91,4.3,No score,222,d368c361-04e2-40d7-aaf5-ecbce3b32b7e
Captive,2023,No rating,['Horror'],81,4.3,No score,130,cb0a5ee5-932b-4e7d-897b-960189f680c8
Nightmare Radio: The Night Stalker,2023,No rating,['Horror'],79,3.8,No score,160,d8f8bc94-9497-4823-98b8-d84b2922524e
Devil Beneath,2023,No rating,"['Horror', ' Thriller']",86,3.9,No score,330,bd2333f9-14c6-4d56-9ff3-07816cf8574f
On Fire,2023,PG-13,"['Drama', ' Thriller']",No runtime,9.0,No score,8,17181e5b-3701-476c-87ea-cff28b7aa3ed
Soundproof,2023,No rating,"['Crime', ' Drama']",98,5.1,No score,148,d2f864f6-07e5-4404-a150-ec56e6764eb7
Sex Games,2023,No rating,['Drama'],97,5.2,No score,103,6420d863-9f82-48e2-9f12-d37fcbbe3ea6
Aneethi,2023,No rating,"['Action', ' Drama', ' Thriller']",143,7.9,No score,193,7118bcde-88c1-450f-979f-43554538e5f2
Long Live Love!,2023,No rating,"['Comedy', ' Romance']",135,7.3,No score,392,b1334b9a-4af0-4364-b40a-f1362329f54a
"Oei, ik groei!",2023,No rating,"['Comedy', ' Drama']",91,4.7,No score,583,02081860-c0b5-464b-adb8-862f65961e0d
Free LSD,2023,No rating,"['Comedy', ' Music', ' Sci-Fi']",100,8.9,No score,34,313e2275-565a-4cc8-99d4-26a7b28f30b9
Thunivu,2023,No rating,"['Action', ' Crime', ' Thriller']",146,6.1,No score,28017,8672b07e-62b1-4c4e-9309-5a46c6a0131e
Fancy Dance,2023,No rating,['Drama'],90,7.1,84,122,aecc3717-0378-466e-b31b-79f5c60d3b25
The Getback,2023,No rating,"['Action', ' Drama']",No runtime,7.8,No score,87,0e89310f-93b4-4e09-bfa1-dd7230316b3b
The Honeymoon,2023,No rating,"['Adventure', ' Comedy']",110,4.3,No score,176,02bccf0b-36e2-428c-9d2d-d4d65a5a1c36
Ultima Ratio,2023,R,['Action'],107,6.3,No score,63,73fd147f-de37-446a-818a-894786473b2c
Love in Country,2023,No rating,"['Drama', ' War']",122,5.3,No score,186,76f9b997-5a26-4eff-a785-dcccadcd4d58
An Egypt Affair,2023,No rating,"['Adventure', ' Drama']",82,6.7,No score,548,6809ef3f-361f-4682-a482-25a069013727
Vera,2023,No rating,['Drama'],77,7.9,No score,24,08285281-3ef6-4d8e-b892-c05a085607ad
Vimanam,2023,No rating,['Drama'],120,6.7,No score,657,4475e1ae-c859-4638-af26-4d2f62adcfa6
The Modelizer,2023,No rating,"['Comedy', ' Romance']",96,7.9,No score,18,62c24eb4-0a9c-4f1f-bc23-6a56d54a184b
Hidden Exposure,2023,No rating,"['Drama', ' Thriller']",89,5.6,No score,127,25e6670f-58f6-441c-8b29-f0e67797e6c9
Animal,2023,No rating,['Drama'],116,No rating,No score,No votes,e94ae43e-f2c6-495e-9b44-f34b8a994df6
Dick Dynamite: 1944,2023,No rating,"['Action', ' Comedy', ' Horror']",89,6.8,No score,26,c10d284b-c682-4eb7-8383-96c2e27bf275
Teller's Camp,2023,No rating,"['Adventure', ' Western']",No runtime,No rating,No score,No votes,633ea826-2809-40c6-9df4-11ddee8cd1ba
Phels High,2023,No rating,"['Drama', ' Thriller']",85,8.6,No score,16,ff3aeaf9-ded3-4338-8132-d9b241c393cf
Sando rando,2023,No rating,"['Animation', ' Action', ' Adventure']",106,7.5,No score,11,4e4573b9-b323-4d95-a42f-a4bfe39b1dab
American Girl: Corinne Tan,2023,No rating,"['Drama', ' Family']",No runtime,7.3,No score,17,4f447abb-eedb-4945-892e-fe229e757f2f
Cuando Duerme Conmigo,2023,No rating,['Drama'],85,7.2,No score,20,d8461bf8-fef2-4792-b0d2-66ddfc2241d5
iNumber Number: Jozi Gold,2023,No rating,"['Action', ' Adventure', ' Crime']",113,4.3,No score,394,2b97b575-3bce-4b38-8e1d-cfa1126bf06a
Lakadbaggha,2023,No rating,"['Action', ' Comedy', ' Crime']",129,6.1,No score,1393,423d3472-99de-4575-acdc-6cd091683d2c
Yaathisai,2023,No rating,"['Action', ' Drama', ' History']",121,7.8,No score,3784,67cd33a2-d791-4077-95b6-32a7bca4e4b5
Two Sinners and a Mule,2023,R,['Western'],97,3.5,No score,191,29cfbf1e-1c67-47c8-80d2-d22e6b5f019b
Cerrar los ojos,2023,No rating,['Drama'],169,7.8,85,59,c58ea1d9-fb00-4ac0-a85f-2b74bec81f2d
Chatrapathi,2023,No rating,"['Action', ' Drama']",124,4.7,No score,2534,06462b35-401a-43e8-84f0-88967822edbc
Roll with It,2023,No rating,['Comedy'],115,8.2,No score,45,7a48ce9d-e0d1-4945-bc73-90868ebdc35c
Life Upside Down,2023,No rating,"['Comedy', ' Romance']",88,4.1,No score,136,6acfd0cf-6754-4ef2-9bd7-c9fbbcde7131
Dream Wedding,2023,No rating,['Romance'],No runtime,5.5,No score,77,a089fba4-6e37-4962-b08d-17f023ef1dc0
Le livre des solutions,2023,No rating,"['Comedy', ' Drama']",102,6.7,65,44,adbd0690-1f1c-44f6-aef6-bf4ffd6ac9c2
Gangs of Lagos,2023,No rating,"['Crime', ' Thriller']",124,6.4,67,156,f30e943c-b46b-4ac9-b6ef-fd2aa86dfc06
Irgendwann werden wir uns alles erzählen,2023,No rating,"['Drama', ' History', ' Romance']",129,6.1,No score,460,d3f650e2-b211-4a1a-b57e-7b362b230695
Camino,2023,No rating,"['Comedy', ' Drama']",104,6.0,No score,486,29089b09-7e83-4afd-8860-d7b911052e6d
Condor's Nest,2023,R,"['Action', ' Drama', ' Thriller']",102,4.1,No score,283,0f168339-9df2-45bb-8c4a-398c7f16f44d
Katak: The Brave Beluga,2023,PG,"['Animation', ' Adventure', ' Comedy']",82,7.1,No score,900,9232ed57-8bdf-47b2-ae4b-42431dc78e3f
Sayen,2023,No rating,"['Action', ' Thriller']",94,4.6,No score,2367,b09ad5c1-a69e-45f0-9cb3-0779d9d89347
Eric Larue,2023,No rating,['Drama'],No runtime,7.1,No score,42,6778f107-f801-4c7a-a6b9-04675ca3676f
Etheria Film Night 2023,2023,No rating,['Horror'],83,4.9,No score,46,ebd1450b-00d1-473b-938c-41be6a0103f7
The Hopewell Haunting,2023,No rating,"['Horror', ' Thriller']",111,No rating,No score,No votes,1835efcd-6009-4201-a0cb-bd4a5f10c0dc
Katie's Mom,2023,No rating,['Comedy'],101,8.3,No score,32,7c9ab9f7-1f94-49fa-bd1c-4e39b8a55547
The Rooster,2023,No rating,"['Drama', ' Mystery']",No runtime,5.3,No score,180,e2026566-55c1-4176-8bb0-d5f1bf44ebc3
Frankie Meets Jack,2023,No rating,"['Comedy', ' Romance']",80,7.0,No score,6,7f67a3fc-6afa-49ec-a727-aea6fdcc1318
Lousy Carter,2023,No rating,['Comedy'],No runtime,5.1,No score,65,450e2cba-ecba-4ed4-a52e-119df8f22636
Nightmare School Moms,2023,No rating,['Thriller'],152,5.0,No score,3602,d6c09d8d-e856-438b-bd9e-9ca06ecb77be
Kather Basha Endra Muthuramalingam,2023,No rating,"['Action', ' Crime', ' Drama']",91,6.4,No score,50,2e80a0e2-2814-44f1-ba8a-f271e16f642c
Sur la branche,2023,No rating,['Drama'],No runtime,No rating,No score,No votes,58319c81-b393-48cf-944c-be2ee8236913
Site 13,2023,No rating,['Horror'],123,8.2,No score,30,46543d3a-dcd3-45af-aded-bf0381cbcaa0
Pizza 3: The Mummy,2023,No rating,"['Drama', ' Horror', ' Thriller']",180,7.2,92,67,d375771c-c802-4783-9f9e-cd16bca81c62
Los delincuentes,2023,No rating,"['Comedy', ' Drama']",119,6.3,63,22,712e30a8-feaf-4d42-9249-bc59238c33fc
Breaking Infinity,2023,No rating,['Drama'],No runtime,5.1,No score,201,e04524d4-32ad-4df8-85ef-ec5dd15bad97
If I Can't,2023,No rating,"['Comedy', ' Drama']",90,5.6,No score,259,ca7836d3-1076-4412-a1d1-151b4904f7be
Sid Is Dead,2023,No rating,"['Comedy', ' Drama']",No runtime,9.5,No score,62,6ed1e8dd-d9c5-4829-abff-f67f78b1f4d4
Chocolate Lizards,2023,No rating,['Drama'],105,7.5,No score,61,e4002939-f36f-42e1-b8f1-6223ca6e869f
Young. Wild. Free.,2023,No rating,['Comedy'],88,3.8,No score,22,eaca4a3c-0da0-44e5-9074-811230e997f4
Les déguns 2,2023,No rating,"['Drama', ' Thriller']",140,6.3,No score,560,152576d9-191b-40c9-8ae4-70a94ee3bd6d
Farhana,2023,R,['Action'],87,3.4,No score,819,d011f100-7ea5-4563-8a46-e169eafe49c2
The Siege,2023,No rating,"['Animation', ' Adventure', ' Comedy']",78,No rating,No score,No votes,3e4bc3de-8152-4456-a88c-8c3ed8a15f16
Baby Shark's Big Movie!,2023,No rating,"['Comedy', ' Romance']",94,9.3,No score,18,830a3655-12e2-44ba-80d9-f69dc6322423
It Only Takes a Night,2023,No rating,['Comedy'],95,9.5,No score,28,7a72b172-8599-4ce4-9d76-6b9bba012989
The Duel,2023,No rating,['Horror'],86,8.8,No score,81,f724c26b-64be-4e10-b2f9-24f7c97ee2f5
Trinket Box,2023,No rating,"['Sci-Fi', ' Thriller']",76,4.3,No score,124,a6d5c4f2-04c5-44e6-8ce5-a0c665785292
The Wraith Within,2023,No rating,"['Action', ' Adventure', ' Comedy']",92,4.4,No score,159,14bb7626-b069-4f98-a389-537ff969ff09
A Snowy Day in Oakland,2023,PG-13,['Comedy'],84,5.3,No score,123,5ad93c0a-8e5e-4b8d-bb4a-168e04de1d65
Richard the Stork and the Mystery of the Great Jewel,2023,No rating,"['Animation', ' Adventure', ' Family']",103,2.9,No score,220000,1c32413d-1810-4553-b090-b156fcfe4833
All Inclusive,2023,No rating,['Comedy'],115,5.7,No score,443,ce045ed1-543a-4474-8d56-fb10f2a77989
Fairyland,2023,No rating,['Drama'],114,6.7,68,151,3bc3e007-a4c6-4991-84ec-3fcf2996c630
Dark Windows,2023,No rating,"['Horror', ' Thriller']",80,No rating,No score,No votes,7296d28d-44af-4836-9255-a6a5e3757d83
Illegal Hayatlar,2023,No rating,['Comedy'],105,6.2,No score,3884,8c795022-e5d1-4a7d-8694-14d458c0fb39
Vaathi,2023,No rating,"['Action', ' Drama']",139,7.3,No score,8843,e49c78a3-684f-4206-9fa0-0911fae7e9f7
Sisi & Ich,2023,No rating,"['Biography', ' Drama', ' History']",132,6.8,No score,181,7f65518f-a236-44f7-9d48-d915eccdbd10
One More Time,2023,No rating,"['Comedy', ' Drama', ' Romance']",85,5.7,No score,2055,1034e011-18bb-409a-a6b2-588ab939baa1
Mumbaikar,2023,No rating,"['Action', ' Drama', ' Thriller']",122,4.8,No score,589,7b7397a8-e576-420c-8fcf-249d781ef93c
Bugaw,2023,No rating,['Thriller'],90,5.7,No score,28,7eb3f8fe-ee5e-4306-a159-664d8bdbdc1f
Murdercise,2023,No rating,"['Comedy', ' Horror', ' Thriller']",84,8.0,No score,43,ef20ed90-b088-4f83-b015-a87e47b26bf7
Je verrai toujours vos visages,2023,No rating,['Drama'],118,7.9,No score,862,10f5e82e-8d55-4d99-9400-a03e41dcec68
Njaan Ippo Entha Cheyya?,2023,No rating,['Drama'],No runtime,7.2,No score,78,6df080ca-f969-46ae-a988-164f6570e6f2
The Mattachine Family,2023,No rating,['Drama'],99,7.4,No score,99,c346fbfc-5b5f-414e-b491-6015c9d76ef5
Tótem,2023,No rating,['Drama'],95,7.0,85,284,635d977a-afee-4c9e-b9d9-40c76ec98d85
Mojave Diamonds,2023,R,"['Action', ' Thriller']",98,3.1,No score,204,7b2a9d12-cb10-4762-932c-ab4e22bdca67
Pollen,2023,No rating,"['Horror', ' Mystery', ' Thriller']",86,4.0,No score,303,b6c6b4a2-fc41-431a-98df-5c480fafed70
Cocaine Cougar,2023,No rating,"['Comedy', ' Horror']",65,3.6,No score,90,1f1f5420-8319-47ba-8dd5-a381c28780d4
The Adults,2023,R,['Family'],No runtime,3.9,No score,39,94ad0950-8ce3-41e8-b759-223560dbc273
De Bellinga's: Vakantie op stelten,2023,No rating,['Drama'],102,7.1,No score,189,5c29fcd2-4faf-4571-908c-3f5c90084514
Silver Haze,2023,No rating,"['Comedy', ' Drama', ' Family']",137,8.7,No score,632,b22b965c-e459-4f51-8fbe-2a3e7a800ae5
Baipan Bhari Deva,2023,No rating,['Thriller'],108,5.7,No score,28,b05306ed-abe7-4c16-b280-03905741227a
The Stepmother 3,2023,No rating,['Thriller'],No runtime,7.1,No score,9,17eb5c7b-f985-4278-b29a-16ee99c49b11
"God Forgives, I Don't",2023,No rating,"['Comedy', ' Drama']",91,6.7,71,171,ec1ac69c-a317-4887-9f00-105a26f650fe
Devilreaux,2023,R,"['Horror', ' Sci-Fi', ' Thriller']",81,4.0,No score,553,2bc4dd4e-ddfe-4e7c-8022-9873cb8500b8
The Fearway,2023,No rating,"['Drama', ' Family']",131,7.7,No score,4335,a3228391-4861-4922-8648-2d9fe684f5d8
Gulmohar,2023,No rating,['Horror'],93,4.0,No score,565,4b329f95-5b6a-40c4-a970-1a695c2d8da2
Sound of Silence,2023,No rating,"['Action', ' Comedy']",104,5.8,No score,185,9dd43537-204e-4d52-903f-999db41745f3
Mr. Ex,2023,No rating,"['Action', ' Adventure', ' Drama']",98,5.5,52,9600,fc408ca5-d14f-4911-83b2-a0ccac8ad065
Jung_E,2023,No rating,"['Drama', ' History', ' Horror']",92,5.8,71,1256,e7d33ba0-c520-42e3-af73-054d1f62d562
Brooklyn 45,2023,No rating,"['Comedy', ' Drama', ' Fantasy']",121,6.7,No score,859,c03078b2-7a1a-4c95-8a8f-d15decc92218
Il primo giorno della mia vita,2023,No rating,"['Action', ' Drama', ' Mystery']",120,2.4,No score,35,24bd2a35-28b5-4d06-bd9e-e9fc296afe45
Badcop,2023,No rating,"['Crime', ' Thriller']",91,7.2,No score,284,6c3bdb14-f1bd-45f5-9c04-41dcf67e8083
Cinnamon,2023,No rating,"['Action', ' Drama', ' Thriller']",94,5.3,No score,218,fe89b3b8-80a9-4791-bb15-e7e72b61b641
Dzien Matki,2023,No rating,"['Horror', ' Thriller']",78,3.4,No score,364,263a84cd-d285-4329-a586-678a6c0de5ff
The Resurrection of Charles Manson,2023,No rating,"['Sci-Fi', ' Thriller']",96,3.9,No score,98,8965c84c-160e-4417-95e1-abf83ef1b410
I'll Be Watching,2023,No rating,['Drama'],116,8.6,No score,201,b4a340eb-112b-462a-bdbd-b46b1bd8df61
Appatha,2023,No rating,['Comedy'],131,6.1,No score,66,12c13aea-cc4b-458e-bcc7-f1d245ec2aa9
Pareshan,2023,No rating,['Fantasy'],30,6.1,No score,223,ce93fd4c-2612-4621-8cc4-a7469d046184
Superman: Solar,2023,No rating,"['Drama', ' Thriller']",95,5.9,53,21,9f67d54d-9e3d-4e63-ad00-54e318d5f6c1
Manodrome,2023,R,['Horror'],No runtime,6.8,No score,No votes,afc4718a-e421-4f81-a4e2-9998251b80d3
Blackout,2023,No rating,['Drama'],No runtime,No rating,No score,20,013fc07d-26e7-478f-823b-e3eda9fce0f4
Lioness,2023,No rating,['Comedy'],No runtime,3.8,No score,472,09617664-8282-46ae-b2fe-cc878d292aef
The Breakfast Club Live!,2023,No rating,"['Horror', ' Sci-Fi']",97,5.1,No score,45,d43a6af0-4c7e-4b76-a821-06db145e094b
Resurrected,2023,No rating,"['Drama', ' Family']",86,8.1,No score,106,5d0eb364-5a1b-4b0c-a53e-d0b7246eca55
Heart of a Champion,2023,PG,['Horror'],86,8.2,71,121,20bc962b-e689-40fc-8bbd-d0b711bb48a0
Wu ming,2023,No rating,"['Drama', ' Fantasy', ' History']",115,6.9,No score,2080,3e001fc2-b46e-4cd2-81ae-29625ee71848
Late Night with the Devil,2023,No rating,"['Action', ' Adventure', ' Drama']",95,5.5,No score,24374,28ccf39d-2bd9-4013-82dd-00549735a3d7
My Happy Marriage,2023,PG,"['Crime', ' Horror', ' Mystery']",111,6.3,No score,423,75ad8e43-844e-4a15-854a-beadbb96272a
Chupa,2023,No rating,"['Horror', ' Mystery', ' Thriller']",98,6.9,52,250,a6c1ab75-bf45-407d-ab6e-0dfda59ada1f
Gaslight,2023,No rating,"['Drama', ' Thriller']",110,5.9,71,105,e1da9eee-36d2-4397-9d9c-10be0d13e547
The Devil's Left Hand,2023,No rating,['Drama'],122,8.6,59,5792,a85453bb-5b81-4d3b-b5f1-f56eba561add
Club Zero,2023,No rating,['Action'],85,6.4,No score,516,de220649-ec95-4c0e-aad6-006302386bad
Radical,2023,R,"['Drama', ' History', ' Thriller']",128,7.0,No score,34,12d4dfe7-6623-4976-8451-1ef0fc244637
Mercy,2023,No rating,"['Animation', ' Adventure', ' Comedy']",107,8.0,No score,32,20e0b356-4f39-4f46-b7a2-249d2843f66d
Eiga Doraemon: Nobita to Sora no Utopia,2023,No rating,"['Comedy', ' Drama']",110,6.0,No score,26,0e9ca97a-cd52-4bc7-8582-fbd5c62292c9
The Good Half,2023,No rating,['Drama'],111,5.7,80,132,178342f8-5732-4692-9238-25c28586d175
La bella estate,2023,No rating,['Horror'],87,7.5,No score,577,04d7a30a-b259-41c5-84ff-f08265f9d6d5
"Lovely, Dark, and Deep",2023,No rating,"['Drama', ' History', ' Romance']",145,5.8,No score,673,493ef4c1-b1df-42cb-bac7-f5468a9d8e35
La passion de Dodin Bouffant,2023,No rating,['Drama'],120,8.0,No score,328,d490e68f-f72f-4525-bf89-7d9c033c91b6
Village,2023,No rating,['Crime'],125,6.1,No score,624,eba05bc5-7f77-412c-9d9e-94e3f060fe43
Kurukkan,2023,No rating,"['Crime', ' Drama', ' Thriller']",No runtime,6.8,No score,6353,d39193c2-465c-43d9-93c4-09dc4eb19dd4
Fatum,2023,No rating,['Drama'],87,7.2,48,1045,cefe0d08-3b21-4e8d-9b27-fb9e9962abe6
Blondi,2023,No rating,"['Comedy', ' Drama']",135,5.0,No score,3540,e54d24c8-ebfc-49fb-afed-aff8873d0e8b
Geomijip,2023,No rating,"['Action', ' Comedy']",99,5.3,65,1113,dab9fec5-a71a-4f3a-a9a6-d4f1428409f8
Haita de actiune,2023,No rating,"['Adventure', ' Drama', ' Family']",105,4.8,No score,2270,15cedcc6-9bb6-49f8-bcaa-15d195954eb9
Crater,2023,PG,"['Action', ' Thriller']",95,6.6,No score,1112,ef581809-212c-42f9-9def-15389d459207
One Ranger,2023,R,"['Comedy', ' Crime', ' Drama']",102,6.0,42,5077,c3af4d83-55d6-48d9-ba6a-167a71fa14b6
Mon crime,2023,No rating,"['Biography', ' Drama', ' Music']",137,8.5,No score,30,8957f8f0-4ae6-4e8d-aaf6-8bab5f6d182f
Spinning Gold,2023,R,"['Comedy', ' Drama']",122,6.3,No score,364,82d88d7b-84d8-4e3c-8e92-e8161e4250f9
Slum Dog Husband,2023,No rating,"['Comedy', ' Romance']",No runtime,4.8,No score,3328,2934e213-dd4d-4022-bd3d-986dc93a1621
Dime lo que quieres (de verdad),2023,No rating,"['Comedy', ' Drama']",84,7.1,No score,2215,317d186a-3a63-4c92-971d-e4764f294ea0
Scrapper,2023,No rating,"['Action', ' Drama', ' Romance']",146,8.5,No score,150,0c7e613f-f461-42b2-ad53-3875688e4ef5
Ugram,2023,No rating,"['Action', ' Crime', ' Thriller']",147,6.9,No score,185,3b15cf06-3346-4a28-870c-ca7d9839d177
Por Thozhil,2023,No rating,"['Adventure', ' Mystery', ' Thriller']",99,6.0,54,No votes,266eb392-476b-4e2e-961d-0a7aedf4c4ba
Big Shark,2023,No rating,"['Drama', ' Thriller']",120,No rating,No score,214,76dd9cb9-4b0c-49eb-8eac-1af056e6dd09
Cat Person,2023,No rating,"['Biography', ' Crime', ' Drama']",127,2.7,No score,130,c1c2c4b5-3dfc-45e5-b8a0-c49fb5d5908d
Miranda's Victim,2023,No rating,"['Horror', ' Thriller']",94,4.8,63,2788,04c5e3f7-fea8-4077-9ef4-1fce8a3430a4
"Scooby-Doo! and Krypto, Too!",2023,No rating,['Horror'],101,5.0,No score,No votes,bf0b1775-3a79-4e17-91c1-44f7a6cdd7b3
Perpetrator,2023,No rating,['Comedy'],104,No rating,No score,17,c8dc91bb-09db-4318-9aff-5efcd547b43a
Coffee Wars,2023,No rating,['Biography'],200,8.9,No score,67,bccac3e0-81ae-498c-81d0-09fc1cedca19
Fuck Them All!,2023,No rating,"['Action', ' Thriller']",No runtime,8.6,No score,288,89ff99de-bf24-44c0-bfbf-d46f74852e6d
Jade,2023,No rating,['Drama'],86,7.3,No score,252,b5a43cb3-96d0-4239-89b3-0d25e03cea41
Chantilly Bridge,2023,No rating,"['Comedy', ' Drama']",93,6.7,No score,23,bd8edc3c-bdbf-4040-ac4b-d3dd506cf6ca
Chien de la casse,2023,No rating,"['Drama', ' Romance']",155,4.5,No score,48,0a5a416d-888d-43c5-ab62-99f34883d6e2
Ishq-e-nadaan,2023,No rating,"['Sci-Fi', ' Thriller']",80,6.2,No score,29,07a605cc-f2f3-4ed1-8ac2-dced81b48c17
Strannyy dom,2023,No rating,"['Comedy', ' Romance']",113,8.4,No score,5309,9d63ab7c-593b-45f4-a5e9-e5c8cae7a721
Doble discurso,2023,No rating,['Drama'],96,7.6,No score,1491,3ae276a3-2a8e-4475-9476-376faa5242f9
Catching Dust,2023,No rating,"['Comedy', ' Horror']",130,7.0,No score,274,cec59871-fb03-4aac-8afd-e78a2fe6447f
Romancham,2023,No rating,['Drama'],132,6.5,No score,11,9a4566ac-7044-4b4b-a569-9aa7bf53be8e
Fatafati,2023,No rating,['Romance'],87,7.4,No score,179,59215b09-de9a-49e0-bf3c-2cc8e4959f71
Strength of a Woman,2023,No rating,"['Comedy', ' Family', ' Sci-Fi']",78,7.7,No score,181,8366f67f-6f14-47c8-bebe-b1ba75ca588f
So tutto di te,2023,No rating,"['Animation', ' Action', ' Adventure']",76,5.0,57,172,37191052-16b0-4d82-a15d-44966f28ac10
